kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
HS.1.sm_30.ptx 225 : 512 1280 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 58 : 256 3328 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 137 : 256 1536 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 59 : 256 3424 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 138 : 256 2304 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 227 : 256 1536 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 60 : 256 3424 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 139 : 256 26880 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 228 : 256 1280 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 61 : 256 8672 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 62 : 256 2304 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 63 : 256 1536 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 142 : 512 2816 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 107 : 256 1280 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 108 : 256 1536 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 109 : 256 0 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 111 : 256 1280 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 112 : 256 1536 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 113 : 256 11264 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 114 : 256 1664 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 115 : 256 2336 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 116 : 256 1792 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 117 : 256 2048 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 118 : 256 2848 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 119 : 256 1536 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 120 : 256 4736 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 121 : 256 1536 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 122 : 256 1536 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 123 : 256 2432 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 124 : 256 1920 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 125 : 256 2304 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 126 : 256 27520 0 0 0 0 0 0 0 
